epoch,loss,mae,mse
0,28896.390625,151.00985717773438,28896.390625
1,28765.234375,150.578857421875,28765.234375
2,28205.93359375,148.7670135498047,28205.93359375
3,26168.994140625,141.8460693359375,26168.994140625
4,19954.46875,119.0251693725586,19954.46875
5,9016.43359375,71.49990844726562,9016.43359375
6,4731.2197265625,59.25129318237305,4731.2197265625
7,4036.817138671875,54.05031204223633,4036.817138671875
8,3782.7119140625,51.24506378173828,3782.7119140625
9,3529.80322265625,50.019935607910156,3529.80322265625
